icd1,sales,profit,profits,profitpure,equity,assets
3,21406,431,200,209,5479,33523
1,58126,1713,1871,1277,19486,45251
1,34603,1830,3171,3278,77741,85465
1,49516,3208,4585,3005,52399,98190
1,5608,113,112,129,1574,4399
1,17175,1988,2295,1700,11137,13092
1,3506,40,42,39,406,976
3,14142700000,42781,43219,26319,17878800000,19021300000
3,28342,12658,12618,8978,26991,35335
3,654,121,125,-269,2342,2466
3,5354,504,501,339,2515,4611
3,3387,365,384,238,3817,7773
4,7164,206,197,-852,8816,21284
3,7133,67,73,265,2231,4096
3,8395,4020,3987,3321,5737,14569
3,4558,792,798,303,5276,6023
3,3268,628,615,470,2172,3084
3,15630,427,751,426,20183,55792
3,6801,1255,1276,818,7125,10284
3,811,514,517,513,21453,21487
3,30005,4016,3930,2838,13944,23062
3,7083,92,109,46,1775,4183
3,4768,567,581,127,7396,15156
3,9378,-189,743,709,1853,3787
3,990,449,432,409,1117,11721
3,6331,785,794,540,2333,3264
3,3253,38,42,19,468,1360
3,8751,-1809,-2139,681,19292,59306
3,2882,285,1022,889,6751,7844
3,8394,977,797,625,5171,26866
3,1791,28,33,22,476,839
3,5120,2575,2559,1858,19081,19866
3,2585,93,60,56,761,3242
3,29292,1009,923,-1687,6765,12540
3,11606,455,633,392,2523,8234
3,6591,455,466,234,1948,3753
3,22844,13163,11615,12306,10285300000,23833700000
3,7686,1611,1708,1135,5984,12469
3,6891,522,536,355,2962,3596
3,167,-765,-825,-1082,592,1064
3,11363,1762,1822,-57,25474,26685
3,520,53,42,28,391,2187
3,25936,1875,1816,881,6991,21384
3,6679,221,332,120,3631,4960
4,893,200,205,156,1475,1645
3,38152,3179,3186,1557,15438,24904
4,8530,614,643,483,3460,5359
3,4149,543,545,379,2976,3419
4,54599,6573,6596,4033,19498,31998
4,73,-215,-247,-284,157,390
4,311,7,7,5,398,695
3,13678,2198,2245,1537,18985,23177
4,5752,2774,2777,1784,7804,9870
4,39323,1121,3230,-1925,54768,71097
4,241,40,20,-60,2205,2573
3,23593800000,16357,24326,19374,19275800000,28181100000
4,9551,614,643,448,4387,6240
3,1955,78,76,58,1145,1473
4,12724,778,819,509,5075,7599
3,15919,12740,12070,8256,83181,13385600000
4,201,-42,-61,-1218,390,850
3,4362,514,546,349,4283,4981
3,455,-42,-31,38,4540,4854
3,8926,1736,1970,1322,17590,24483
4,13707,1532,1655,1126,8669,13061
4,723,-41,-14,-350,2884,3418
4,1367,374,361,134,1347,1612
3,8461,1517,2289,1764,5518,13151
4,11827,295,389,186,3196,8675
4,16249,1433,1820,1490,8838,14348
3,49474,23293,23261,16087,39816,47440
3,1765,716,723,693,6073,8953
3,2776,884,846,484,8729,11585
3,8293,444,497,252,6857,10410
3,45865,3850,3629,2460,15383,36568
3,42167,12828,12859,9112,25899,33704
3,5877,2672,2252,2241,13364,98828
3,302,75,73,111,4016,4044
3,3026,707,722,491,4459,5389
3,360,-99,-103,-104,769,864
3,78344,3669,3383,2258,23017,68865
3,17396,-248,-260,-384,1767,12957
3,2029,106,110,44,1966,3636
3,2149,-213,-198,-311,5816,6664
4,10216,497,507,298,5191,7345
3,24512,7297,7337,4957,19783,33178
3,3660,687,718,508,6397,25474
3,3530,-178,-131,-194,3344,4020
3,44719,-390,4497,3975,57100,11653700000
3,10032,503,530,374,7443,18960
3,1652,37,4049,3986,16211,41429
3,77637,3992,6697,9853,18830800000,2084400000
3,33010,18213,19374,17396,25238200000,45929400000
3,6295,868,873,598,5431,6271
3,32692,1068,1123,448,18047,23111
3,33946,1850,2120,1004,13754,47742
3,3743,364,532,406,3966,4652
3,2658,71,26,-50,2884,3736
3,1553,-27,-3,-4,697,1171
3,31813,3663,3732,1786,20869,26438
3,1212,629,689,608,4581,8367
3,3074,209,215,81,4104,5977
3,1532,-39,-150,-297,2669,4016
3,18198,617,1306,1016,8342,24956
3,2470,1883,1906,1430,9622,10226
3,1358,883,883,580,3336,3629
3,927,335,353,234,1979,2378
3,3121,323,350,236,3495,3998
3,7312,719,746,525,3967,5291
4,5395,-246,-150,-195,3025,7024
3,9761,317,348,457,4591,5974
3,5472,238,247,154,1845,3108
3,37028,762,941,586,10634,15916
3,25253,5172,5195,3552,11437,17621
3,8536,2474,2457,1691,11159,12975
3,22332,12592,12594,7966,41591,56825
3,4840,438,426,258,2708,3377
3,22435400000,50,259,165,14045,10292600000
3,10326500000,843,899,161,4368,20465
3,18215800000,12446,13197,9458,1174400000,14421200000
3,24676800000,4537,5606,2530,93742,17871200000
3,7791,113,47,69,2957,8180
3,82432,585,680,-843,23238,31386
3,19134700000,38380,40162,27178,22768100000,25682100000
3,458,18,0,-3,858,2265
3,15465,1032,1177,586,13103,15349
3,1641,295,302,252,4474,11349
3,14745,834,951,457,14105,17924
3,34061500000,4202,4696,491,49026,15450600000
3,8086,1217,1984,1298,27415,69001
3,12113,85,82,69,308,1977
3,19542700000,7442,7280,2078,46968,80490
3,92868,288,327,-1694,23204,57840
3,4060,-100,-101,3794,5472,11160
3,1601,449,447,259,3984,8054
3,9821,327,381,324,5838,10078
3,3281,920,1107,-632,8546,23787
3,11184100000,29,232,316,9072,29041
3,1674,378,457,401,4087,5580
3,5975,809,834,550,9302,10282
3,57179,-127,145,99,4308,18850
3,39757,390,582,448,7807,20481
3,13747400000,2969,3663,2573,34240,73012
3,47,-81,-81,-109,34,147
3,13252,424,466,282,2430,6199
3,16074400000,2245,2812,1898,16532,45039
3,65174600000,16767,18244,16039,17604800000,34876600000
3,60994500000,6728,7266,5473,70735,18978700000
3,11726100000,1791,1527,1046,25827,64467
3,12732300000,4916,4937,3161,31677,63834
3,273,8,2,12,3265,3424
3,41132,414,438,108,4800,18964
3,1896,616,664,488,4902,19923
3,38137,414,480,347,5451,18576
3,35911,1508,1570,517,9731,25590
3,10881200000,2139,2284,2651,22932,68438
3,10011,2960,2988,2731,9043,18864
3,10909,747,667,79,9880,22095
3,2516000000,-8006,34633,36883,40707300000,154597000000
3,864,-318,-360,-378,245,932
3,44391,1517,1524,974,18331,26415
3,17048200000,16790,16857,11517,67136,91697
3,21962,20056,20229,20177,23614900000,24828700000
3,9722,33,77,44,4851,8939
3,7607,49,69,-74,2969,6017
3,22324600000,6997,7525,4518,1385400000,22250100000
3,16378700000,4244,3088,318,33915,67342
3,33796,4054,4174,3277,32812,41876
3,5926,437,585,387,5609,7728
3,463,10,18,15,2259,9552
3,4167,528,528,333,1870,2265
3,4601,296,278,176,1089,4926
3,1515,19,7,10,1475,1869
3,32736200000,86725,84505,57788,43215500000,169772000000
3,32109,199,598,-716,2952,24971
3,406,109,100,-4,2346,5523
3,3794,278,313,222,2011,3480
3,19887,1445,1514,1020,12710,20241
3,30972,298,435,212,3793,13551
3,22479300000,665,2038,-1450,96776,19255500000
3,11550,790,796,531,4218,5903
3,3699,-90,-61,-46,272,2401
3,8059,196,243,169,2546,4565
3,12331200000,782,3277,2973,13507,70440
4,14887,1340,1127,739,6506,13460
3,2769,-28,25,0,504,1365
4,794,49,46,26,721,928
3,3927,-13,10,72,630,3007
3,51607800000,9941,12185,7300,10528800000,27829400000
3,24239,538,495,269,2842,6368
3,8561,457,484,236,637,2577
3,2389,55,42,17,4943,10489
3,16859,809,817,558,6396,16827
3,12654300000,16430,16444,11309,39000,60605
3,13176,163,220,71,4117,6492
3,1679,140,147,61,1035,4415
3,4180,313,71,-844,11359,23807
3,5281,-158,-179,-830,598,3649
3,18378,-140,-152,-221,1385,4317
3,2970,1002,1057,1024,2534,13187
3,19316,937,982,505,6658,9970
3,3855,3263,3353,784,25943,28563
3,6660,304,309,249,2433,3653
3,40380,1237,1331,974,7461,18638
3,23379,660,704,436,3735,7764
3,5297,219,219,42,1851,1923
3,3811,20,11,-21,1449,2145
3,15935,1403,1474,999,14894,19911
3,18770,13926,13987,13897,31032900000,41592700000
3,2188,1403,1642,1462,65014,65294
3,22324,2395,2458,1544,17976,21041
3,10352300000,24110,24265,13830,18431,73452
3,14835,807,851,499,4144,7812
3,75875,-592,-480,-1197,5068,25727
3,52488,845,959,418,6307,17135
3,55871,3689,4472,2990,17506,32137
3,14542,5195,4559,-8697,45258300000,71865400000
3,7566,6183,6269,5672,53244,11029200000
3,2174,-863,-757,-1071,7879,8109
3,1292,96,-1,295,3656,11172
3,44530,569,254,167,4960,20342
3,4548,3945,4078,4005,81979,10837400000
3,4861,-248,-250,-500,180,2150
3,8836,661,673,424,3105,4544
3,3605,96,63,1,282,2530
3,3394,713,699,441,2734,4279
3,3123,341,348,187,1306,4053
3,7478,5590,5641,5331,76159,92337
3,30644,548,549,380,2635,11041
3,6140,5641,5644,5218,38738,38879
3,1033,397,404,387,1757,2456
3,2424,1520,1534,1483,44334,86395
3,46108,1313,1650,1360,16873,45225
3,1981,276,572,-613,6769,18114
3,11985700000,344,2036,1429,26420,72486
3,1349,350,357,286,5083,5378
3,697,198,205,227,24112,70283
3,60840,602,698,416,4703,17907
3,7413,215,248,159,4921,6973
3,1322,806,791,789,6742,12334
3,10420,5287,5295,5325,39985,97232
3,50670,-263,-313,-250,7297,17357
3,10186,396,425,349,1263,4162
3,17749900000,2408,2431,1070,14483,37300
3,4882,195,215,111,4517,5678
3,19996,826,931,560,4474,13090
3,20760,544,521,269,2576,10719
3,18843,-88,119,-2499,827,7503
3,8425,369,410,127,1896,4391
3,43980,2424,2469,1161,17279,27830
3,34608,1444,1433,982,4909,9871
3,4739,34,49,12,1838,3140
3,53065,1802,1896,2236,12606,22604
3,3174,2313,2314,2253,16799,17037
3,513,132,166,157,2718,6640
3,11910400000,7775,9140,4540,95643,15097500000
3,2667,7,5,0,2797,3657
3,2667,7,5,0,2797,3657
3,26224,1597,1537,693,7726,17297
3,5129,1945,3448,2517,14899,20043
3,3732,1412,1439,1400,9239,26539
3,17934,2083,2401,1538,6773,10633
3,3567,2216,2210,2205,12620800000,1299500000
3,4377,-12,-16,21,227,1390
3,2965,2029,2029,1960,20669,21623
3,18002,1378,862,730,3593,22447
3,385,-327,-116,-150,2737,6619
3,26962,1110,916,697,5202,21885
3,2038,102,274,198,1251,6183
3,19608,2126,1894,1297,8212,30244
3,35868,4481,4055,2711,17054,88762
3,1458400000,19993,19853,14085,81593,27858100000
3,5605,2745,3178,3351,75219,44788600000
3,1460,154,87,30,1105,9456
3,2477,349,343,226,1781,4255
3,11600,1143,1349,891,6034,9408
3,41506,1761,1779,1225,4653,9276
3,2439,801,843,-1855,36468,54836
3,711,292,304,282,1315,3701
3,26717,17445,17119,16525,29589500000,130021000000
3,13138,1499,1448,969,14364,29280
3,18180,904,717,489,6775,17879
3,7128,588,589,412,2969,4513
3,39419,2957,2300,1583,22068,66961
3,17003,380,277,122,1489,8111
3,2438,34,24,1,717,2037
3,7928,546,553,383,3022,5209
3,7321,295,327,275,1894,3344
3,25759,1431,1206,651,6793,15064
3,57667,197,408,417,11635,26074
3,26843,760,850,553,6699,12203
3,6051,-200,195,193,1711,6120
3,11305,487,542,279,5271,7262
3,57460,3915,4027,2360,26134,36781
3,20362300000,3450,4266,2417,30986,13527100000
3,56323,336,320,-4714,5451,24901
3,6621,126,53,-433,3683,5388
3,61113600000,24736,27262,19165,12602100000,2731300000
3,553,-451,-472,-537,10911,13214
3,8780,435,476,338,4974,6801
3,22084,678,696,684,8055,17046
3,1353,687,679,572,4630,10236
3,2964,88,146,162,1388,3153
3,1601,-71,-144,-76,1494,3389
